RANK,MOVEMENT,PLAYER_ID,PLAYER,SCRAMBLING%,PAR OR BETTER,MISSED GIR
116,-5,54421,Garrick Higgo,58.47%,359,614
117,-4,28775,Nate Lashley,58.39%,334,572
118,-4,40058,Zac Blair,58.37%,272,466
118,-4,31646,Emiliano Grillo,58.37%,380,651
120,-4,39546,Keith Mitchell,58.33%,315,540
120,-4,58168,Davis Thompson,58.33%,301,516
122,-4,27936,Martin Laird,58.21%,273,469
123,0,34076,Joel Dahmen,58.17%,317,545
124,2,32366,Kevin Chappell,58.10%,183,315
124,0,35532,Tom Hoge,58.10%,355,611
124,16,40250,Taylor Pendrith,58.10%,312,537
127,-2,26476,Chez Reavie,58.09%,316,544
128,6,35617,Martin Trainer,58.07%,223,384
129,0,50095,Austin Smotherman,58.05%,339,584
130,-3,28252,Seamus Power,58.04%,296,510
131,0,55893,Sam Stevens,57.77%,353,611
132,-4,33122,Russell Knox,57.75%,328,568
133,13,39335,Kevin Roy,57.72%,243,421
134,-2,39067,MJ Daffue,57.71%,348,603
134,-4,58967,Trevor Werbylo,57.71%,303,525
136,-3,51070,Vincent Norrman,57.59%,273,474
137,7,35901,Paul Haley II,57.57%,331,575
137,-19,29289,S.Y. Noh,57.57%,232,403
139,23,20229,Stewart Cink,57.54%,267,464
140,7,52374,Brandon Wu,57.52%,367,638
141,-2,25686,Jason Dufner,57.46%,289,503
142,-6,52513,Carson Young,57.41%,302,526
143,-1,29970,Dylan Frittelli,57.35%,320,558
144,-6,39997,Corey Conners,57.30%,259,452
144,7,51349,Nico Echavarria,57.30%,263,459
146,-11,24502,Adam Scott,57.28%,240,419
147,2,47128,Richy Werenski,57.12%,373,653
148,13,47988,Nick Hardy,57.03%,365,640
149,-8,33141,Keegan Bradley,57.00%,277,486
150,-8,36871,Matt NeSmith,56.93%,300,527
151,-14,59018,Ryan Gerard,56.92%,218,383
152,-7,46601,Trey Mullinax,56.87%,265,466
153,13,23320,Ryan Palmer,56.85%,253,445
154,-7,57366,Cameron Young,56.84%,266,468
155,-5,45609,Tyler Duncan,56.79%,276,486
156,-4,33408,Tyson Alexander,56.69%,343,605
157,-4,33204,Shane Lowry,56.65%,213,376
158,-3,31323,Gary Woodland,56.58%,271,479
159,-2,48119,Ben Taylor,56.40%,370,656
160,-1,55708,Hayden Buckley,56.34%,262,465
160,-4,33597,Harry Higgs,56.34%,289,513
162,-8,37338,Zecheng Dou,56.32%,312,554
163,-5,19803,Ryan Armour,56.29%,282,501
164,-4,29221,Webb Simpson,56.28%,206,366
165,2,36326,David Lipsky,56.22%,339,603
166,-4,50493,Justin Suh,56.08%,378,674
167,-3,48699,Callum Tarren,55.85%,315,564
168,-3,29420,Billy Horschel,55.80%,226,405
169,0,49453,Trevor Cone,55.38%,242,437
170,2,51950,Max McGreevy,54.92%,324,590
171,4,55454,Carl Yuan,54.85%,260,474
172,1,52411,Kyle Westmoreland,54.82%,256,467
173,-3,49960,Sepp Straka,54.75%,288,526
174,0,27129,Luke List,54.69%,280,512
175,-4,47995,Davis Riley,54.65%,341,624
176,3,48867,Matti Schmid,54.59%,238,436
177,-9,27554,Scott Harrington,54.55%,258,473
178,0,27974,Sung Kang,54.45%,153,281
179,-2,32662,Michael Gligic,54.33%,251,462
180,0,28420,Ryan Brehm,54.00%,290,537
181,-3,31557,Jim Herman,53.93%,240,445
182,-6,45242,Kevin Yu,53.53%,182,340
183,-2,32448,James Hahn,53.51%,244,456
184,0,27095,Nick Watney,53.35%,263,493
185,-3,52453,Nicolai Hojgaard,53.31%,137,257
186,-3,40006,Erik van Rooyen,53.15%,236,444
187,-1,53165,Doc Redman,53.13%,221,416
188,-3,52372,Cameron Champ,52.43%,216,412
189,-1,51414,Brent Grant,51.52%,237,460
190,-3,56762,Will Gordon,51.41%,292,568
191,-2,51491,Brandon Matthews,50.53%,191,378
