RANK,MOVEMENT,PLAYER_ID,PLAYER,STAVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
93,0,52374,Brandon Wu,0.116,9.544,19.868,-10.318,82
94,0,27129,Luke List,0.113,9.025,60.864,-51.834,80
95,0,22056,Cameron Percy,0.100,4.192,2.776,1.420,42
96,0,33413,Ben Martin,0.078,6.160,4.759,1.406,79
97,0,26596,Ryan Moore,0.060,3.655,8.924,-5.266,61
98,0,40058,Zac Blair,0.055,3.390,1.202,2.191,62
99,0,29420,Billy Horschel,0.047,2.420,-15.611,18.035,52
100,0,36871,Matt NeSmith,0.041,3.330,17.475,-14.138,81
101,0,35506,Mackenzie Hughes,0.029,1.967,-15.648,17.618,68
102,0,55708,Hayden Buckley,0.023,1.488,-1.736,3.231,64
103,0,29908,C.T. Pan,0.015,0.595,4.095,-3.497,39
104,0,23320,Ryan Palmer,-0.008,-0.485,23.267,-23.749,64
105,0,48699,Callum Tarren,-0.009,-0.753,12.277,-13.025,81
106,0,47983,Chad Ramey,-0.016,-1.426,-29.584,28.162,89
107,0,48119,Ben Taylor,-0.017,-1.448,-35.516,34.076,84
108,0,40162,Justin Lower,-0.025,-1.977,-30.047,28.074,79
109,0,29535,Brice Garnett,-0.026,-1.612,-12.537,10.929,62
110,0,46441,Robby Shelton,-0.037,-3.065,1.886,-4.947,82
111,0,28252,Seamus Power,-0.046,-2.968,-16.102,13.135,65
112,0,48887,Matt Wallace,-0.052,-3.494,-1.503,-1.987,67
113,0,32816,Satoshi Kodaira,-0.103,-4.104,8.831,-12.932,40
113,0,35449,Adam Long,-0.103,-8.780,-35.448,26.676,85
115,0,52513,Carson Young,-0.107,-7.702,-20.056,12.359,72
116,0,47995,Davis Riley,-0.112,-8.540,1.612,-10.145,76
117,0,56762,Will Gordon,-0.114,-9.812,5.516,-15.323,86
118,0,32366,Kevin Chappell,-0.126,-4.419,-3.365,-1.051,35
119,0,32139,Danny Willett,-0.129,-6.830,-12.920,6.093,53
120,0,31202,William McGirt,-0.132,-4.487,-10.974,6.490,34
121,0,48867,Matti Schmid,-0.139,-7.114,-10.951,3.840,51
122,0,39067,MJ Daffue,-0.156,-11.367,2.531,-13.894,73
123,0,25818,Scott Piercy,-0.159,-10.634,-9.936,-.694,67
124,0,25632,Jimmy Walker,-0.164,-12.332,-16.891,4.564,75
125,0,59018,Ryan Gerard,-0.174,-8.345,12.803,-21.144,48
126,0,34466,Peter Malnati,-0.185,-13.903,-47.728,33.831,75
127,0,34076,Joel Dahmen,-0.186,-13.556,30.501,-44.051,73
128,0,45609,Tyler Duncan,-0.196,-14.886,-.637,-14.246,76
129,0,26476,Chez Reavie,-0.199,-16.935,-6.375,-10.556,85
130,0,39954,Cody Gribble,-0.209,-9.819,5.040,-14.855,47
131,0,36326,David Lipsky,-0.210,-16.995,20.785,-37.775,81
132,0,27963,Chris Stroud,-0.213,-8.506,-11.940,3.436,40
133,0,27936,Martin Laird,-0.223,-14.934,-10.232,-4.699,67
134,0,39058,Lucas Herbert,-0.252,-12.098,-31.202,19.106,48
135,0,12716,Charley Hoffman,-0.263,-14.454,18.065,-32.517,55
135,0,30692,Scott Stallings,-0.263,-17.366,.129,-17.491,66
137,0,32333,Kevin Tway,-0.273,-21.040,-24.061,3.024,77
138,0,35310,Lanto Griffin,-0.274,-12.046,-14.858,2.815,44
139,0,49453,Trevor Cone,-0.286,-17.751,-8.934,-8.812,62
140,0,39335,Kevin Roy,-0.294,-15.278,16.313,-31.588,52
141,0,29221,Webb Simpson,-0.302,-15.709,-13.016,-2.689,52
142,0,49298,Kramer Hickok,-0.311,-23.294,-8.143,-15.146,75
143,0,33122,Russell Knox,-0.323,-26.196,-2.890,-23.302,81
144,0,32448,James Hahn,-0.328,-22.602,-8.531,-14.068,69
145,0,55454,Carl Yuan,-0.330,-21.805,-11.826,-9.975,66
